,0
0,50.6009578704834
1,51.011832654476166
2,51.028508335351944
3,51.26464997828006
4,51.8144500413537
5,53.59104563227295
6,55.88632961598932
7,58.260198746513424
8,60.27887387370268
9,62.07877820696114
10,63.61373581855605
11,64.95911584826509
12,66.19557893155991
13,67.33594601642172
14,68.38723926506412
15,69.32132907595015
16,70.1618331779758
17,70.8917586305487
18,71.57342821050415
19,72.23379915674386
20,72.87945826995245
21,73.3528101159442
22,73.7233016234614
23,74.15122956114807
24,74.57396033475814
25,74.86818635228292
26,75.12068081286266
27,75.30146370875879
28,75.56631830824652
29,75.7425703182212
30,75.93805559644623
31,76.15240560325554
32,76.32401150184188
33,76.47315810666066
34,76.65621161948665
35,76.76477882705055
36,76.82955148913194
37,76.92533656744119
38,76.99965901483259
39,77.07557321169223
40,77.18691355506996
41,77.2805091129579
42,77.37093863369564
43,77.43012038601822
44,77.46678988099146
45,77.52233505213303
46,77.563081323779
47,77.59693709582959
48,77.6534038564939
49,77.71434019041466
50,77.77761471300491
51,77.81726317431779
52,77.85032314204798
53,77.90708695778513
54,77.95134951111015
55,77.94856059047285
56,77.95605341338548
57,77.9619775391528
58,77.978305713258
59,77.96250852577849
60,77.95373877256777
61,77.9031820330292
62,77.87677665650278
63,77.83622461646286
64,77.81577379783529
65,77.77265165400986
66,77.72968713181452
67,77.70972985390337
68,77.68927489248078
69,77.65800900334561
70,77.5967712438802
71,77.56656812757552
72,77.53126433906228
73,77.51277620867434
74,77.48971672602484
75,77.46338628305188
76,77.40733876144758
77,77.37054634972695
78,77.35205375150696
79,77.33206391032806
80,77.29589080538992
81,77.29750382059791
82,77.28761053521018
83,77.29251041804474
84,77.2710140478139
85,77.28197359426542
86,77.26629838392489
87,77.24979935627002
88,77.22535418159501
89,77.21608954685988
90,77.20404515878614
91,77.22834781005612
92,77.16671885724035
93,77.1270162910983
94,77.11063969589159
95,77.10870741418199
96,77.1065481478977
97,77.11593207493493
98,77.09872973062161
99,77.10100458947625
