,0
0,50.29304623603821
1,50.328904688358314
2,50.44475522637367
3,50.723072829842565
4,50.8067732539773
5,50.97869355860352
6,51.18091689988673
7,51.40849281052977
8,51.66836615234819
9,51.92062320557422
10,52.201473971431135
11,52.496494585476526
12,52.803745628180096
13,53.12326678107559
14,53.44090099755269
15,53.740375658482385
16,54.03023012335009
17,54.278320799960845
18,54.52103769543245
19,54.76895411994286
20,55.02978182005489
21,55.32401158959512
22,55.68726767198007
23,56.19790532376552
24,56.87202553319499
25,57.538963321157375
26,58.20664611158498
27,58.88624441651458
28,59.59051357532699
29,60.33552444122874
30,61.13246282466629
31,61.999850277856396
32,62.949808363397786
33,63.97804938937415
34,65.02587964998354
35,66.02573964774612
36,66.97251147431137
37,67.86354389550091
38,68.69757434810819
39,69.4752664365079
40,70.19754374006742
41,70.8664268909039
42,71.48439383430556
43,72.05441352060387
44,72.57966732678666
45,73.06312682358491
46,73.5079741072184
47,73.91719316764409
48,74.29361413708688
49,74.63996384255316
50,74.95858526568615
51,75.25173431343737
52,75.52143414950582
53,75.76940712454508
54,75.99734893848829
55,76.20664982268511
56,76.39856262447803
57,76.57445421912405
58,76.73557282475947
59,76.88315136124181
60,77.01831867894072
61,77.14234585106854
62,77.25611994749741
63,77.36050474720987
64,77.4565455741685
65,77.54506833198678
66,77.62700647273373
67,77.70331379913131
68,77.77477005549824
69,77.84211515869399
70,77.90589567559094
71,77.96652066591795
72,78.02451012626366
73,78.08024875606664
74,78.13408546703072
75,78.18624308458278
76,78.23696149067261
77,78.28647699364583
78,78.33512162931467
79,78.38318722636436
80,78.43093702665807
81,78.47860034828044
82,78.52631458513132
83,78.57418446724586
84,78.62234701798832
85,78.67083138304778
86,78.71956708500826
87,78.768512747914
88,78.81765229305363
89,78.86692729116145
90,78.9162128852665
91,78.96552992047604
92,79.01486914320353
93,79.06417990592327
94,79.11345730603223
95,79.1626958881064
96,79.21180744477306
97,79.26075669683391
98,79.30953230760134
99,79.35805239947113
