round, loss_no_selection, loss_union, loss_intersection, accuracy_no_selection, accuracy_union, accuracy_intersection, precision_no_selection, precision_union, precision_intersection, recall_no_selection, recall_union, recall_intersection, f1_no_selection, f1_union, f1_intersection
0, 2.319697618484497, 2.328587293624878, 2.320500373840332, 0.342253640161302, 0.43672880496462463, 0.4321710573974356, 0.0, 0.0, 1.0, 0.0, 0.0, 0.009169826284050941, 0.0, 0.0, 0.018173007294535637, 
1, 2.252023935317993, 2.258125066757202, 2.255035161972046, 0.5509924419868157, 0.4844674377610895, 0.5535640982300244, 0.0, 0.0, 0.890350341796875, 0.0, 0.0, 0.046175114810466766, 0.0, 0.0, 0.08779691159725189, 
2, 2.2021331787109375, 2.2102973461151123, 2.2094268798828125, 0.6139255789244923, 0.4756598169656871, 0.6148310916861855, 1.0, 0.0, 0.9497664570808411, 0.025505276396870613, 0.0, 0.07487383484840393, 0.04974186420440674, 0.0, 0.138805091381073, 
3, 2.155041456222534, 2.166964530944824, 2.1830875873565674, 0.6344444981044599, 0.5928452418322749, 0.6291864873348948, 0.9619491696357727, 1.0, 0.9425164461135864, 0.10331900417804718, 0.025245696306228638, 0.06394127756357193, 0.18659643828868866, 0.04924808442592621, 0.11975803226232529, 
4, 2.123979091644287, 2.1327881813049316, 2.1410908699035645, 0.6698138265761959, 0.6457030401081786, 0.6351025040446237, 0.9484103918075562, 0.916571855545044, 0.8709214329719543, 0.11741482466459274, 0.1021357998251915, 0.13921956717967987, 0.20896002650260925, 0.18379127979278564, 0.2400640845298767, 
5, 2.094125509262085, 2.108198404312134, 2.118476629257202, 0.6826600342887499, 0.664742955110714, 0.6460592084611112, 0.9419000148773193, 0.8918253779411316, 0.9419293999671936, 0.14376524090766907, 0.13343031704425812, 0.1448216736316681, 0.2494552880525589, 0.23213045299053192, 0.2510451078414917, 
6, 2.075589179992676, 2.0801031589508057, 2.077866554260254, 0.7014162219592881, 0.6886364185159249, 0.6658839011904475, 0.9242674112319946, 0.9136624336242676, 0.9390380382537842, 0.1997319608926773, 0.19720861315727234, 0.2278209775686264, 0.3284801244735718, 0.32439783215522766, 0.3666810393333435, 
7, 2.0560567378997803, 2.055685520172119, 2.0516035556793213, 0.7083162292033902, 0.6937555839953637, 0.6717033298722623, 0.8939428329467773, 0.8819637298583984, 0.8740482926368713, 0.2385905385017395, 0.22449472546577454, 0.3562106192111969, 0.37665343284606934, 0.3578917682170868, 0.5061458945274353, 
8, 2.0363969802856445, 2.0431666374206543, 2.036017417907715, 0.7179871054982735, 0.7083162292033902, 0.6921739550382731, 0.9072085022926331, 0.8988519310951233, 0.8975474834442139, 0.29569217562675476, 0.2986984848976135, 0.3448675572872162, 0.44601261615753174, 0.4483914375305176, 0.49827948212623596, 
9, 2.017047882080078, 2.0225110054016113, 2.010435104370117, 0.7119201699949291, 0.7126989109699853, 0.6986091323980392, 0.9082621335983276, 0.8892760276794434, 0.9027640223503113, 0.43062564730644226, 0.37594476342201233, 0.4408639669418335, 0.5842475295066833, 0.5284748077392578, 0.5924201011657715, 
