Iteration,no_filter_mae,no_filter_mape,overall_mae,overall_mape,rare_mae,rare_mape,inter_mae,inter_mape,union_mae,union_mape
0,78.85841369628906,0.7207034230232239,78.98225402832031,0.7218396067619324,78.70672607421875,0.7193191647529602,78.70672607421875,0.7193191647529602,78.98225402832031,0.7218396067619324
1,32.876033782958984,0.3005814254283905,30.587783813476562,0.2797401547431946,27.244199752807617,0.24918323755264282,30.546188354492188,0.279339998960495,27.158510208129883,0.24842387437820435
2,24.816781997680664,0.22716964781284332,21.79787826538086,0.19953320920467377,19.56842041015625,0.17925243079662323,21.889144897460938,0.2004636526107788,19.55701446533203,0.17911309003829956
3,20.783489227294922,0.19046717882156372,18.460105895996094,0.16921770572662354,17.2465763092041,0.15823020040988922,19.807544708251953,0.1816384494304657,18.772356033325195,0.17207440733909607
4,18.33432388305664,0.16825996339321136,17.944690704345703,0.16466766595840454,16.177499771118164,0.14859436452388763,18.269371032714844,0.16771021485328674,14.55006217956543,0.13371454179286957
5,18.001419067382812,0.16531863808631897,16.445884704589844,0.1511709988117218,14.326798439025879,0.13185322284698486,17.963193893432617,0.16506507992744446,14.245182991027832,0.13112789392471313
6,17.161325454711914,0.15778757631778717,14.882689476013184,0.13698150217533112,15.1502103805542,0.13944099843502045,16.664058685302734,0.15334069728851318,13.718758583068848,0.12638111412525177
7,17.746824264526367,0.16323387622833252,15.041717529296875,0.13856318593025208,14.884117126464844,0.13711774349212646,16.544424057006836,0.15236055850982666,15.18464469909668,0.1398511379957199
8,17.469715118408203,0.16069427132606506,13.506221771240234,0.12463900446891785,15.357601165771484,0.14149639010429382,15.9263334274292,0.14679211378097534,13.14810562133789,0.12131325900554657
9,17.167470932006836,0.15800774097442627,13.954431533813477,0.12869417667388916,14.409335136413574,0.13284491002559662,16.472185134887695,0.15177547931671143,12.696310043334961,0.11717242002487183
10,17.93960189819336,0.1650998890399933,14.670742988586426,0.1352531909942627,13.234827041625977,0.1221742033958435,15.184398651123047,0.14003044366836548,12.327864646911621,0.11379242688417435
11,18.162513732910156,0.1671389937400818,13.567408561706543,0.1252232789993286,13.292131423950195,0.12269115447998047,13.802916526794434,0.12745244801044464,13.878120422363281,0.1280011683702469
12,18.030960083007812,0.16591623425483704,14.483036994934082,0.1336163580417633,14.11026382446289,0.13019058108329773,15.757368087768555,0.14529143273830414,13.281829833984375,0.12258018553256989
13,17.784954071044922,0.1636371612548828,14.291389465332031,0.13185915350914001,13.835563659667969,0.12769681215286255,16.09707260131836,0.14836108684539795,11.56175422668457,0.10689178109169006
14,17.45857048034668,0.1606915146112442,14.04142951965332,0.1295807957649231,14.944483757019043,0.13780099153518677,15.217598915100098,0.1402706652879715,12.724287986755371,0.11751008778810501
