Iteration,no_special_mae,no_special_mape,no_filter_mae,no_filter_mape,trustfed_mae,trustfed_mape,truflass_mae,truflass_mape
0,36.28803253173828,0.3386021554470062,73.41559600830078,0.6871541142463684,71.95174407958984,0.673349142074585,70.69417572021484,0.6614673733711243
1,9.999552726745605,0.09798046201467514,28.014631271362305,0.25968706607818604,23.812889099121094,0.2200201451778412,20.857194900512695,0.19257518649101257
2,11.479272842407227,0.11611887067556381,22.27874183654785,0.20682542026042938,18.57309913635254,0.1719147115945816,16.843690872192383,0.15580351650714874
3,13.740655899047852,0.13898725807666779,18.65601348876953,0.17343340814113617,16.948638916015625,0.15715347230434418,15.812664985656738,0.1468767523765564
4,16.29085922241211,0.16273880004882812,16.67281150817871,0.15567071735858917,15.870797157287598,0.14764556288719177,13.698104858398438,0.1277078539133072
5,20.49786376953125,0.20088373124599457,17.261323928833008,0.1618776023387909,17.074474334716797,0.15950800478458405,13.16086196899414,0.12309132516384125
6,22.824520111083984,0.22212305665016174,17.29315185546875,0.16258639097213745,14.78437614440918,0.1389835625886917,12.247247695922852,0.11514458060264587
7,26.117645263671875,0.2522013187408447,17.374448776245117,0.16372255980968475,13.306585311889648,0.12588123977184296,12.382892608642578,0.11718017607927322
8,24.48097801208496,0.23690177500247955,17.448497772216797,0.1647934466600418,14.22920036315918,0.1348905861377716,12.956208229064941,0.12265228480100632
9,26.360992431640625,0.2539963126182556,17.075456619262695,0.16164293885231018,13.679108619689941,0.13006147742271423,13.759124755859375,0.1306142508983612
10,24.020349502563477,0.23276929557323456,17.287240982055664,0.16384072601795197,15.244573593139648,0.14496442675590515,14.20270824432373,0.13466739654541016
11,25.70831871032715,0.24871964752674103,17.359689712524414,0.1647518426179886,13.41981315612793,0.12802743911743164,13.507736206054688,0.1285659521818161
12,25.177799224853516,0.24429334700107574,17.345251083374023,0.1647525131702423,14.561383247375488,0.1387394517660141,13.391640663146973,0.12768322229385376
13,26.200258255004883,0.2535630762577057,17.335323333740234,0.16513945162296295,15.467559814453125,0.1475507915019989,14.342242240905762,0.13647890090942383
14,28.07341766357422,0.2710738778114319,17.86594009399414,0.17016753554344177,16.05850601196289,0.15321244299411774,14.113162994384766,0.13458779454231262
