Iteration,no_special_mae,no_special_mape,no_filter_mae,no_filter_mape,trustfed_mae,trustfed_mape,truflass_mae,truflass_mape
0,38.73515701293945,0.35213783383369446,73.40624237060547,0.6673294901847839,71.54820251464844,0.6504382491111755,69.52218627929688,0.6320199370384216
1,10.6121826171875,0.09647439420223236,28.1837158203125,0.2562156319618225,25.953372955322266,0.23593975603580475,22.192869186401367,0.20175336301326752
2,8.26192855834961,0.07510843127965927,19.16925621032715,0.17426596581935883,17.708398818969727,0.16098544001579285,14.418709754943848,0.13107916712760925
3,8.597766876220703,0.07816152274608612,17.453453063964844,0.15866774320602417,14.518817901611328,0.1319892555475235,12.32900333404541,0.1120818480849266
4,8.931496620178223,0.08119542896747589,13.420162200927734,0.12200148403644562,13.821267127990723,0.12564785778522491,12.45224380493164,0.11320222169160843
5,11.91018295288086,0.10827437043190002,14.242459297180176,0.1294768899679184,12.364951133728027,0.11240864545106888,11.026226043701172,0.10023842006921768
6,13.860233306884766,0.12600213289260864,14.206697463989258,0.12915179133415222,10.705694198608398,0.09732449054718018,10.02369213104248,0.09112446755170822
7,16.366594314575195,0.1487872153520584,13.269728660583496,0.12063388526439667,10.662325859069824,0.09693024307489395,10.715468406677246,0.09741334617137909
8,17.308998107910156,0.15735451877117157,14.02450180053711,0.12749548256397247,11.241474151611328,0.10219522565603256,9.675039291381836,0.08795490860939026
9,18.58612823486328,0.16896480321884155,15.5824556350708,0.1416586935520172,11.486471176147461,0.10442247241735458,9.74487590789795,0.08858978003263474
10,19.18100929260254,0.1743728220462799,14.387429237365723,0.13079480826854706,11.67876148223877,0.10617055743932724,8.892396926879883,0.08083995431661606
11,17.876649856567383,0.16251499950885773,14.949800491333008,0.13590727746486664,11.699280738830566,0.10635709017515182,7.933377742767334,0.07212162017822266
12,17.1463565826416,0.15587595105171204,14.255717277526855,0.12959744036197662,11.860149383544922,0.10781954228878021,11.045392990112305,0.10041265934705734
13,16.68994903564453,0.15172681212425232,14.67102336883545,0.1333729475736618,12.390738487243652,0.11264308542013168,10.47871208190918,0.09526100009679794
14,14.691404342651367,0.1335582286119461,13.69964599609375,0.124542236328125,12.955926895141602,0.1177811548113823,11.083490371704102,0.10075899958610535
