Iteration,no_special_mae,no_special_mape,no_filter_mae,no_filter_mape,trustfed_mae,trustfed_mape,truflass_mae,truflass_mape
0,37.83992385864258,0.34399932622909546,71.8804702758789,0.6534587740898132,70.78123474121094,0.6434657573699951,70.22240447998047,0.6383854746818542
1,10.016692161560059,0.0910608321428299,25.002124786376953,0.2272920161485672,22.058021545410156,0.20052745938301086,22.294960021972656,0.20268146693706512
2,5.485529899597168,0.04986846074461937,16.814373016357422,0.1528579592704773,14.043278694152832,0.1276661604642868,12.957045555114746,0.1177913248538971
3,3.9047648906707764,0.035497862845659256,15.341269493103027,0.1394660919904709,11.662814140319824,0.1060255914926529,11.19063663482666,0.10173306614160538
4,4.875590801239014,0.04432355612516403,15.00112533569336,0.1363738626241684,11.259238243103027,0.10235671699047089,11.415816307067871,0.10378015041351318
5,4.26350212097168,0.03875910863280296,13.200883865356445,0.12000804394483566,10.749025344848633,0.09771840274333954,10.109301567077637,0.0919027328491211
6,4.839593887329102,0.043996311724185944,12.581164360046387,0.11437422782182693,10.351096153259277,0.09410087764263153,9.561681747436523,0.08692438900470734
7,7.714080810546875,0.07012800127267838,13.420976638793945,0.12200888246297836,10.576550483703613,0.0961504653096199,9.393392562866211,0.085394486784935
8,5.379456043243408,0.04890414699912071,12.938796997070312,0.11762543022632599,10.32112979888916,0.09382844716310501,10.033563613891602,0.09121419489383698
9,7.922613620758057,0.07202376425266266,13.19953441619873,0.11999576538801193,10.83568000793457,0.09850618988275528,9.148385047912598,0.08316712826490402
10,8.521851539611816,0.07747138291597366,13.263216018676758,0.1205746978521347,9.765356063842773,0.08877597004175186,8.02509593963623,0.0729554146528244
11,8.577044486999512,0.0779731422662735,13.307854652404785,0.12098048627376556,10.265970230102539,0.09332700073719025,8.930529594421387,0.08118662983179092
12,9.518522262573242,0.08653201907873154,13.452689170837402,0.12229717522859573,10.265114784240723,0.09331920742988586,10.557039260864258,0.09597310423851013
13,8.870035171508789,0.08063669502735138,12.921494483947754,0.11746812611818314,11.686355590820312,0.10623960942029953,9.73951244354248,0.08854103088378906
14,8.209121704101562,0.07462838292121887,13.282440185546875,0.12074945122003555,10.233491897583008,0.09303175657987595,8.540539741516113,0.07764126360416412
