,0
0,50.597670674324036
1,50.72094798088074
2,50.779756605625145
3,51.14545288681984
4,51.43665757477284
5,54.17406800419092
6,56.12596431103349
7,58.74402411634028
8,61.10804427731902
9,63.3185331440169
10,65.38923407341824
11,67.18780301284002
12,68.83911328558212
13,70.24158853629903
14,71.62599147861907
15,72.81454576408007
16,73.93291285653535
17,74.84744749384782
18,75.74797938988502
19,76.44461471491363
20,77.01523404109454
21,77.56609559763648
22,78.01416060962538
23,78.39419789586896
24,78.67010114319118
25,78.94510502571157
26,79.15425680536889
27,79.37510444932158
28,79.60853949975647
29,79.84902181439114
30,80.03183574866513
31,80.15643883995348
32,80.31305816100955
33,80.46580251747596
34,80.61822664762343
35,80.74719648383383
36,80.87969920774393
37,80.98415689236008
38,81.05806013851836
39,81.1325174651397
40,81.21725995080347
41,81.27994548144943
42,81.32272342619008
43,81.34001117745078
44,81.35354106246562
45,81.35874674873767
46,81.37043928644555
47,81.38887121267466
48,81.40401289451731
49,81.42169024576496
50,81.44949069049731
51,81.4789365866194
52,81.50472531960098
53,81.52052319269498
54,81.54742946822452
55,81.57649589120454
56,81.60978349333203
57,81.6463742460477
58,81.68098543336997
59,81.71273765788385
60,81.74829913222112
61,81.78994402030095
62,81.83005313341903
63,81.87053033946532
64,81.90799262438934
65,81.94294443411876
66,81.97481203690096
67,82.00441466523638
68,82.03194990831702
69,82.05764775047977
70,82.08185435447346
71,82.10502863925622
72,82.126480945962
73,82.14593762965559
74,82.1636366976341
75,82.17974824902777
76,82.19439780590562
77,82.20775824079777
78,82.2199648734021
79,82.2311266764481
80,82.24136169294826
81,82.25079121178666
82,82.25935481774461
83,82.2670762192099
84,82.27404515006143
85,82.28033655933736
86,82.2860162620443
87,82.29114662093203
88,82.29577988817347
89,82.29996860415388
90,82.30375856510383
91,82.30719158367738
92,82.31029247626445
93,82.31308581279023
94,82.31560205083761
95,82.31786949630087
96,82.319912432392
97,82.32175375708302
98,82.32341348250233
99,82.32490976857714
