Iteration,no_special_mae,no_special_mape,no_filter_mae,no_filter_mape,trustfed_mae,trustfed_mape,truflass_mae,truflass_mape
0,32.27531433105469,0.2934119403362274,64.97325134277344,0.5906659364700317,62.45883560180664,0.5678076148033142,58.60738754272461,0.5327944755554199
1,9.374593734741211,0.08522357791662216,23.185075759887695,0.21077342331409454,21.497501373291016,0.19543181359767914,19.198820114135742,0.17453473806381226
2,4.4298930168151855,0.04027175158262253,13.605910301208496,0.12369009852409363,12.096017837524414,0.1099637970328331,10.713363647460938,0.09739422798156738
3,4.4684672355651855,0.04062242805957794,11.61721134185791,0.10561099648475647,10.612485885620117,0.09647715091705322,8.48048210144043,0.07709528505802155
4,3.848142385482788,0.034983113408088684,11.802041053771973,0.10729126632213593,10.993855476379395,0.09994413703680038,9.190759658813477,0.08355236053466797
5,4.941103935241699,0.044919129461050034,8.769989967346191,0.0797271803021431,8.360749244689941,0.07600680738687515,6.68435001373291,0.06076681986451149
6,5.078686237335205,0.04616987705230713,11.053609848022461,0.1004873588681221,8.478870391845703,0.077080637216568,7.121670722961426,0.06474246084690094
7,4.799489498138428,0.043631721287965775,8.684748649597168,0.07895226776599884,6.113985061645508,0.055581677705049515,5.152183532714844,0.046838030219078064
8,4.403116703033447,0.04002833738923073,9.252073287963867,0.08410975337028503,7.625760078430176,0.06932508945465088,6.43775749206543,0.05852506682276726
9,4.199148654937744,0.03817408159375191,9.74917984008789,0.08862891793251038,9.614828109741211,0.08740754425525665,5.105597972869873,0.04641453176736832
10,3.8759374618530273,0.03523578867316246,8.864729881286621,0.0805884450674057,7.390769958496094,0.0671888217329979,5.196374416351318,0.0472397655248642
11,4.006508827209473,0.03642280399799347,8.459612846374512,0.07690557092428207,7.419111728668213,0.06744647771120071,4.906230449676514,0.04460208863019943
12,4.16690731048584,0.03788097947835922,8.019563674926758,0.07290511578321457,6.257394313812256,0.05688540264964104,2.7155308723449707,0.024686643853783607
13,3.864825963973999,0.03513478487730026,8.418190956115723,0.07652901113033295,5.533055782318115,0.050300512462854385,5.425535202026367,0.04932304844260216
14,5.510467052459717,0.05009515956044197,7.960628032684326,0.07236935198307037,6.322525978088379,0.05747750774025917,4.577020645141602,0.041609279811382294
