round, loss_no_selection, loss_truflaas, loss_trustfed, accuracy_no_selection, accuracy_truflaas, accuracy_trustfed, precision_no_selection, precision_truflaas, precision_trustfed, recall_no_selection, recall_truflaas, recall_trustfed, f1_no_selection, f1_truflaas, f1_trustfed
0, 2.3269402980804443, 2.286275863647461, 2.305197238922119, 0.373, 0.478, 0.413, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 
1, 2.2516274452209473, 2.2265877723693848, 2.2368438243865967, 0.541, 0.509, 0.469, 0.0, 0.9610389471054077, 0.0, 0.0, 0.07400000095367432, 0.0, 0.0, 0.137418732047081, 0.0, 
2, 2.2001516819000244, 2.1918187141418457, 2.1928374767303467, 0.603, 0.59, 0.611, 0.0, 0.875, 1.0, 0.0, 0.06300000101327896, 0.0020000000949949026, 0.0, 0.11753729730844498, 0.003992015961557627, 
3, 2.153629779815674, 2.1535158157348633, 2.154478073120117, 0.613, 0.615, 0.619, 1.0, 0.8952381014823914, 1.0, 0.03200000151991844, 0.09399999678134918, 0.00800000037997961, 0.06201550364494324, 0.1701357215642929, 0.0158730149269104, 
4, 2.1213722229003906, 2.115572214126587, 2.1179721355438232, 0.63, 0.625, 0.639, 0.9557521939277649, 0.9908257126808167, 0.9868420958518982, 0.1080000028014183, 0.2160000056028366, 0.07500000298023224, 0.19407007098197937, 0.35467976331710815, 0.13940519094467163, 
